ID,C_KIND_LIMIT,COLLECTION_ID,C_DATE_BEGIN,C_DATE_END,C_REASON,C_LIM_NUM,C_DOP_INFO,C_LIM_DATE
140062319750,125923372068,140052150718,14.03.11,24.01.16,Лицо с реквизитами Клиента содержится в реестре банкротов,1,,14.12.12
140043274188,125923372068,140042477888,12.12.16,,Лицо с реквизитами Клиента содержится в реестре банкротов,1,,12.12.16
140050499966,125923372068,140045175072,13.12.14,11.02.17,Лицо с реквизитами Клиента содержится в реестре банкротов,1,,13.12.16
140107647775,125923372068,140107101920,20.12.16,11.02.18,Лицо с реквизитами Клиента содержится в реестре банкротов,1,,20.12.17
140116416765,125923372068,140114737842,21.06.18,,Лицо с реквизитами Клиента содержится в реестре банкротов,1,,21.12.16
140316720550,125923372068,140315727807,19.01.17,11.02.19,Лицо с реквизитами Клиента содержится в реестре банкротов,1,,19.01.18
140337941313,125923372068,140337650297,23.01.18,,Лицо с реквизитами Клиента содержится в реестре банкротов,1,,23.01.17
140377327103,125923372068,140376087251,15.01.17,26.01.17,Лицо с реквизитами Клиента содержится в реестре банкротов,1,,
140391022197,125923372068,140387891739,28.01.17,11.02.17,Лицо с реквизитами Клиента содержится в реестре банкротов,1,,28.01.17
140431953664,125923372068,140431404105,02.02.16,,Лицо с реквизитами Клиента содержится в реестре банкротов,1,,02.02.17
140411037130,125923372068,140409283366,31.01.17,,Лицо с реквизитами Клиента содержится в реестре банкротов,1,,
140316720554,125923372068,140316314048,19.01.15,11.02.16,Лицо с реквизитами Клиента содержится в реестре банкротов,1,,19.01.16
140075280198,125923372068,140074672029,15.12.16,11.02.17,Лицо с реквизитами Клиента содержится в реестре банкротов,1,,15.12.16
